date,total_deaths,new_cases,tests
2021-03-20,104642,23832,46613817
2021-03-21,104942,20159,46890903
2021-03-22,105328,13846,47060099
2021-03-23,105879,18765,47395288
2021-03-24,106339,21267,47759055
2021-03-25,106799,23798,48108527
2021-03-26,107256,23987,48463509
2021-03-27,107636,23776,48820585
2021-03-28,107933,19611,49093288
2021-03-29,108350,12916,49249985
2021-03-30,108879,16013,49551432
2021-03-31,109346,22516,49902497
2021-04-01,109847,23649,50258742
2021-04-02,110328,21932,50589896
2021-04-03,110704,21261,50949110
2021-04-04,111030,18025,51200043
2021-04-05,111326,10680,51302838
2021-04-06,111747,7767,51415800
2021-04-07,112374,13708,51755739
2021-04-08,112861,17221,52117901
2021-04-09,113579,18938,52466904
2021-04-10,113923,17567,52801766
2021-04-11,114254,15746,53054866
2021-04-12,114612,9789,53245501
2021-04-13,115088,13447,53550491
2021-04-14,115557,16168,53885257
2021-04-15,115937,16974,54204890
2021-04-16,116366,15943,54532594
2021-04-17,116676,15370,54864328
2021-04-18,116927,12694,55094444
2021-04-19,117243,8864,55241172
2021-04-20,117633,12074,55535217
2021-04-21,117997,13844,55885251
2021-04-22,118357,16050,56250055
2021-04-23,118699,14761,56565755
2021-04-24,119021,13817,56886535
2021-04-25,119238,13158,57126017
2021-04-26,119539,8444,57271836
2021-04-27,119912,10404,57574570
2021-04-28,120256,13385,57910906
2021-04-29,120544,14320,58240981
2021-04-30,120807,13446,58579752
2021-05-01,121033,12965,58957954
2021-05-02,121177,9148,59114826
2021-05-03,121433,5948,59236655
2021-05-04,121738,9116,59552161
2021-05-05,122005,10585,59879330
2021-05-06,122263,11807,60203970
2021-05-07,122470,10554,60532582
2021-05-08,122694,10176,60871018
2021-05-09,122833,8292,61097024
2021-05-10,123031,5080,61227024
2021-05-11,123282,6946,61513452
2021-05-12,123544,7852,61820196
2021-05-13,123745,8085,62107222
2021-05-14,123927,7567,62405408
2021-05-15,124063,6659,62700094
2021-05-16,124156,5753,62902667
2021-05-17,124296,3455,63021591
2021-05-18,124497,4452,63284455
2021-05-19,124646,5506,63571711
2021-05-20,124810,5741,63822748
2021-05-21,125028,5218,64092492
2021-05-22,125153,4717,64379095
2021-05-23,125225,3995,64558486
2021-05-24,125335,2490,64665967
2021-05-25,125501,3224,64918613
2021-05-26,125622,3937,65179575
