,Age,Value
0,0-4,2082489
1,5-9,2422261
2,10-14,2755810
3,15-19,2852724
4,20-24,2930273
5,25-29,3003299
6,30-34,3241069
7,35-39,3362532
8,40-44,3763730
9,45-49,4490318
10,50-54,4781238
11,55-59,4803934
12,60-64,4165728
13,65-69,3610625
14,70-74,3318057
15,75+,7371461
